"Datum","Cena","Trzna_kap","St_transakcij","Skupno_st_transakcij","Promet","BTC_v_obtoku"
2017-08-27,4354.31,71969913143.23,261891,250057283,112660557.89,16528437.5
2017-08-28,4391.67,72594582814.18,223771,250281054,209634566.5,16530050
2017-08-29,4607.99,76178812260.67,281116,250562170,317010671.85,16531912.5
2017-08-30,4594.99,75973586549.25,271466,250833636,202687613.64,16534012.5
2017-08-31,4748.26,78517382092.75,280724,251114360,220351499.9,16536050
2017-09-01,4911.74,81231461537.14,283670,251398030,338585244.35,16538225
2017-09-02,4580.39,75760868525.76,236811,251634841,440710136.1,16540275
2017-09-03,4648.16,76890792076.3,195289,251830130,308302328.02,16542200
2017-09-04,4344.1,71870445889.03,269280,252099410,513527217.63,16544387.5
2017-09-05,4488.72,74274178848.56,277948,252377358,467133132.5,16546850
2017-09-06,4641.82,76816932326.06,276225,252653583,384503428.82,16548875
2017-09-07,4654.66,77039601932.89,256374,252909957,222544560.6,16551075
2017-09-08,4310.75,71356979356.64,279488,253189445,503768705.76,16553262.5
2017-09-09,4375.56,72439028688.42,217890,253407335,117381164.67,16555375
2017-09-10,4329.95,71691497930.5,193240,253600575,331793077.94,16557100
2017-09-11,4248.09,70345290810.74,253492,253854067,250115590.43,16559275
2017-09-12,4219.04,69874102306.5,256230,254110297,311636501.27,16561625
2017-09-13,3961.27,65614497261.07,263320,254373617,541722553.54,16564000
2017-09-14,3319.63,54993571515.25,268068,254641685,736178849.38,16566175
2017-09-15,3774.27,62533631277.01,292079,254933764,1267434715.97,16568425
2017-09-16,3763.63,62365306431.8,228257,255162021,474370445.67,16570537.5
2017-09-17,3746.06,62082482021.23,197683,255359704,249840870.74,16572737.5
2017-09-18,4093.32,67843960761.25,218204,255577908,425335356.13,16574325
2017-09-19,3943.41,65367103852,282917,255860825,349157038.32,16576275
2017-09-20,3977.56,65938973200.06,235723,256096548,229919029.85,16577737.5
2017-09-21,3658.9,60664303198.53,255257,256351805,385065464.6,16579937.5
2017-09-22,3637.5,60315885095.77,227615,256579420,317303697.73,16581675
2017-09-23,3776.39,62626656252.88,203861,256783281,179361985.99,16583750
2017-09-24,3703.04,61417012140.62,185277,256968558,138592392.43,16585562.5
2017-09-25,3942.56,65395652604.38,226603,257195161,284073950.94,16587125
2017-09-26,3910.31,64867502636.01,263648,257458809,175299977.81,16588850
2017-09-27,4202.55,69723276430.05,257961,257716770,357673848.69,16590687.5
