"Drzava","Stevilo_lokacij"
"USA",2201
"Canada",639
"Austria",196
"UK",176
"Russian Federation",79
"Spain",63
"Czech Republic",61
"Australia",51
"Italy",34
"Switzerland",33
"Slovakia",32
"Poland",25
"Hong Kong",24
"Netherlands",23
"Finland",19
"Colombia",17
"Panama",13
"Japan",12
"Slovenia",12
"Mexico",11
"Romania",10
"Singapore",10
"Greece",10
"Taiwan",10
"Hungary",9
"Belgium",8
"Israel",7
"Dominican Republic",7
"Georgia",6
"Ukraine",6
"Croatia",5
"Malaysia",4
"South Africa",4
"Kosovo",4
"Serbia",4
"VietNam",4
"Portugal",3
"Malta",3
"Kazakhstan",3
"Bulgaria",2
"Norway",2
"New Zealand",2
"Costa Rica",2
"Ecuador",2
"Estonia",2
"Guam",2
"Liechtenstein",2
"Ireland",2
"Chile",2
"Denmark",2
"France",2
"Zimbabwe",1
"Thailand",1
"San Marino",1
"Saint Kitts and Nevis",1
"Jamaica",1
"Cyprus",1
"Djibouti",1
"Guatemala",1
"Brazil",1
"Bosnia and Herzegovina",1
"Armenia",1
"Aruba",1
"Barbados",1
"Iceland",1
"India",1
"Lithuania",1
"Mongolia",1
"Peru",1
"South Korea",1
"Kenya",1
"Indonesia",1
"Anguilla",1
"Philippines",1
